OBJECTID,PUBLIC_NAME,ADDRESS911,ZIPCODE,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT
26,Chamounix Tennis Courts,3601 CHAMOUNIX DR,19131,4.16764054,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7
27,Smith Memorial Playground and Playhouse,3418 SMITH MEMORIAL DR,19121,4.58907699,NEIGHBORHOOD_PARK,RECREATION_SITE,7
28,Garland and Bingham Fields,5153 E TABOR RD,19120,3.48388091,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,3
29,Hammond and Nedro Fields,5901 HAMMOND AVE,19120,4.04154911,NEIGHBORHOOD_PARK,RECREATION_SITE,3
30,Fox Chase School Playground,700 RHAWN ST,19111,1.71289653,NEIGHBORHOOD_PARK,MISC_PARK,1
31,Wissahickon Environmental Center,300 W NORTHWESTERN AVE,19128,2.54221918,NEIGHBORHOOD_PARK,ENVIRONMENTAL_EDUCATION_CENTER,4
32,Ford Road Playground,3905 FORD RD,19131,1.59552959,NEIGHBORHOOD_PARK,MISC_PARK,7
33,82nd and Lyons Park,8200 LYONS AVE,19153,3.12670462,NEIGHBORHOOD_PARK,MISC_PARK,9
34,Verree and Susquehanna Playground,8543 VERREE RD,19111,3.8526229,NEIGHBORHOOD_PARK,MISC_PARK,1
35,Jose Manuel Collazo Park,3261 MASCHER ST,19140,1.53913073,NEIGHBORHOOD_PARK,MISC_PARK,6
36,Frankford and Solly Playground,8318 FRANKFORD AVE,19136,2.19570924,NEIGHBORHOOD_PARK,RECREATION_SITE,1
37,26th and Pennsylvania Playground,2700 PENNSYLVANIA AVE,19130,0.06715723,POCKET_PARK,MISC_PARK,7
38,60th and Baltimore Park,5961 BALTIMORE AVE,19143,0.26571922,POCKET_PARK,BREEZEWAY_ISLAND,8
39,Rainbow De Colores Playground,2326 N 05TH ST,19133,0.26964784,POCKET_PARK,MISC_PARK,6
40,10th and Lemon Playground,1015 MOUNT VERNON ST,19123,0.21834606,POCKET_PARK,MISC_PARK,10
41,47th and Grays Ferry Park,4700 PASCHALL AVE,19143,0.17619633,POCKET_PARK,BREEZEWAY_ISLAND,8
42,Butler and Percy Play Lot,919 W BUTLER ST,19140,0.14327997,POCKET_PARK,MISC_PARK,6
43,Horton Street Play Lot,253 HORTON ST,19139,0.12173465,POCKET_PARK,MISC_PARK,8
44,45th and Sansom Tot Lot,4501 SANSOM ST,19139,0.13073694,POCKET_PARK,MISC_PARK,8
45,Lawrence Street Playground,856 N LAWRENCE ST,19123,0.14325806,POCKET_PARK,MISC_PARK,10
46,Webb Street Play Lot,2544 WEBB ST,19125,0.09988991,POCKET_PARK,MISC_PARK,5
47,Hunting Park Recreation Center,1101 W HUNTING PARK AVE,19140,5.36612993,NEIGHBORHOOD_PARK,RECREATION_SITE,3
48,Belmont Plateau,1800 BELMONT MANSION DR,19131,46.97538673,REGIONAL_PARK,ATHLETIC_OTHER,7
49,Edgley Fields,2100 RESERVOIR DR,19121,28.20655772,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7
50,Dairy Fields,3700 MOUNT PLEASANT DR,19121,14.78790273,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7
51,Salvatore Pachella Memorial Field,6901 HENRY AVE,19128,9.49054881,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,4
52,Belmont and Edgley Fields,4105 EDGLEY AVE,19131,9.46666949,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7
53,David P Montgomery Field,5366 HERMIT LN,19128,3.27317127,NEIGHBORHOOD_PARK,RECREATION_SITE,4
54,Dell Music Center,3101 STRAWBERRY MANSION DR,19132,8.53099207,NEIGHBORHOOD_PARK,OTHER,7
55,Sweetbriar Fields,3700 SWEETBRIAR LN,19131,10.07931019,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7
56,Ohio House Fields,4700 STATES DR,19131,4.86953549,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7
57,Chamounix Fields North,3299 CHAMOUNIX DR,19131,4.01153431,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7
58,Chamounix Fields South,3701 CHAMOUNIX DR,19131,4.41430044,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7
59,John F Boyce Memorial Field,5901 HENRY AVE,19128,3.37907768,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,4
60,Arrow Field,640 W WALNUT LN,19128,3.37050531,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,4
61,Pennypack Environmental Center,8600 VERREE RD,19115,2.34792287,NEIGHBORHOOD_PARK,ENVIRONMENTAL_EDUCATION_CENTER,1
62,Cobbs Creek Golf Club,7900 LANSDOWNE AVE,19151,324.12943108,WATERSHED_PARK,ATHLETIC_GOLF,8
63,Pennypack on the Delaware,8201 STATE RD,19136,218.22000699999998,WATERSHED_PARK,MISC_PARK,1
64,Fox Chase Farm,8821 PINE RD,19111,119.99862952,REGIONAL_PARK,URBANAGRICULTURE_FARM,1
65,Morris Park,6600 SHERWOOD RD,19151,127.50472413,REGIONAL_PARK,CONSERVATION_DRAINAGE_WATERSHED,8
66,Juniata Golf Club,1391 E CAYUGA ST,19124,91.92997071,REGIONAL_PARK,ATHLETIC_GOLF,3
67,Walnut Lane Golf Club,5819 MAGDALENA ST,19128,67.27551119,REGIONAL_PARK,ATHLETIC_GOLF,4
68,Walton Run,11000 ACADEMY RD,19154,90.70862544,REGIONAL_PARK,CONSERVATION_DRAINAGE_WATERSHED,1
69,John F Byrne Golf Club,9550 LEON ST,19114,85.74780505,REGIONAL_PARK,ATHLETIC_GOLF,1
70,Joseph C Fluehr Memorial Park,4800 GRANT AVE,19114,62.76864314,REGIONAL_PARK,MISC_PARK,1
71,Philadelphia Zoo,3400 W GIRARD AVE,19104,55.03049361,REGIONAL_PARK,ZOO,7
72,Manatawna Farm,100 SPRING LN,19128,64.52599005,REGIONAL_PARK,URBANAGRICULTURE_FARM,4
73,Wisters Woods Park,1998 BELFIELD AVE,19141,61.71951434,REGIONAL_PARK,CONSERVATION_DRAINAGE_WATERSHED,3
74,Fairmount Park Horticulture Center,4200 HORTICULTURAL DR,19131,40.27234079,REGIONAL_PARK,URBANAGRICULTURE_GARDEN,7
75,Wooden Bridge Run,2855 WILLITS RD,19114,49.09586334,REGIONAL_PARK,CONSERVATION_DRAINAGE_WATERSHED,1
76,Bartrams Garden,5400 LINDBERGH BLV,19143,50.02628628,REGIONAL_PARK,HISTORIC_SITE,9
77,Wissinoming Park,5801 FRANKFORD AVE,19135,42.6326946,REGIONAL_PARK,RECREATION_SITE,2
78,Fernhill Park,4600 MORRIS ST,19144,42.3860045,REGIONAL_PARK,RECREATION_SITE,3
79,Roxborough Reservoir Park,601 PORT ROYAL AVE,19128,37.28518654,NEIGHBORHOOD_PARK,RESERVOIR,4
80,Manayunk Canal,4500 MAIN ST,19127,33.80228203,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,4
81,Carroll Park (Cobbs Creek),7800 CITY AVE,19151,29.57766757,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,8
82,Holme Crispin Park,2999 HOLME AVE,19136,31.64392659,NEIGHBORHOOD_PARK,RECREATION_SITE,1
83,Philadelphia Museum of Art,2600 BENJ FRANKLIN PKY,19130,24.54730276,NEIGHBORHOOD_PARK,MUSEUM,7
84,Disston Park,6447 KEYSTONE ST,19135,23.50004695,NEIGHBORHOOD_PARK,MISC_PARK,2
85,Poquessing Creek Park 1,1247 STEVENS RD,19116,23.39023796,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1
86,Jim Junod Recreation Center,12776 DUNKS FERRY RD,19154,23.5159859,NEIGHBORHOOD_PARK,RECREATION_SITE,1
87,Michael Palmer Playground,2972 COMLY RD,19154,74.15854842,REGIONAL_PARK,RECREATION_SITE,1
88,29th and Chalmers Playground,2900 N 29TH ST,19132,15.02876961,NEIGHBORHOOD_PARK,RECREATION_SITE,6
89,Joseph E Mander Playground,2102 N 33RD ST,19132,22.26603528,NEIGHBORHOOD_PARK,RECREATION_SITE,7
90,Susan Gorgas Park,6424 RIDGE AVE,19128,21.12253793,NEIGHBORHOOD_PARK,RECREATION_SITE,4
91,Marconi Plaza,2700 S BROAD ST,19148,18.84621248,NEIGHBORHOOD_PARK,SQUARE_PLAZA,9
92,Fort Mifflin,4800 FORT MIFFLIN RD,19153,49.72634123,REGIONAL_PARK,HISTORIC_SITE,9
93,J Francis Finnegan Playground,6801 GROVERS AVE,19142,17.69747417,NEIGHBORHOOD_PARK,RECREATION_SITE,9
94,Lawncrest Recreation Center,6030 RISING SUN AVE,19111,17.36792021,NEIGHBORHOOD_PARK,RECREATION_SITE,2
95,Pastorius Park,200 W HARTWELL LN,19118,16.46122215,NEIGHBORHOOD_PARK,MISC_PARK,4
96,Joseph F Vogt Playground,4351 UNRUH AVE,19135,15.83191769,NEIGHBORHOOD_PARK,RECREATION_SITE,2
97,American Legion Playground,6201 TORRESDALE AVE,19135,15.72179477,NEIGHBORHOOD_PARK,RECREATION_SITE,2
98,George Jacobs Playground,4500 LINDEN AVE,19136,14.68930411,NEIGHBORHOOD_PARK,RECREATION_SITE,1
99,Fox Chase Recreation Center,601 BORBECK AVE,19111,16.36922845,NEIGHBORHOOD_PARK,RECREATION_SITE,1
100,Torresdale Recreation Center,9550 FRANKFORD AVE,19114,14.22124977,NEIGHBORHOOD_PARK,RECREATION_SITE,1
101,William B Simons Recreation Center,7224 WOOLSTON AVE,19138,13.12056744,NEIGHBORHOOD_PARK,RECREATION_SITE,4
102,Olney Recreation Center,6000 A ST,19120,13.62152119,NEIGHBORHOOD_PARK,RECREATION_SITE,3
103,Wakefield Park,5300 N 16TH ST,19141,14.64813953,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,3
104,Charles A Russo Playground,7301 TORRESDALE AVE,19136,12.46294006,NEIGHBORHOOD_PARK,RECREATION_SITE,2
105,Max Myers Playground,1805 HELLERMAN ST,19149,12.3703873,NEIGHBORHOOD_PARK,RECREATION_SITE,2
106,Chalfont Playground,4200 DEERPATH LN,19154,13.73995851,NEIGHBORHOOD_PARK,RECREATION_SITE,1
107,Gustine Recreation Center,4842 RIDGE AVE,19129,12.12366796,NEIGHBORHOOD_PARK,RECREATION_SITE,7
108,Clarence H Clark Park,4301 CHESTER AVE,19104,12.03401606,NEIGHBORHOOD_PARK,MISC_PARK,8
109,William A Lackman Memorial Playground,1165 BARTLETT ST,19115,11.44188251,NEIGHBORHOOD_PARK,RECREATION_SITE,1
110,William (Billy) Gambrel Playground,1900 WAKELING ST,19124,11.54479864,NEIGHBORHOOD_PARK,RECREATION_SITE,5
111,Eastwick Park,7401 LINDBERGH BLV,19153,11.30893686,NEIGHBORHOOD_PARK,MISC_PARK,9
112,Carmella A DiTizio Playground,2150 WAKELING ST,19124,11.18319598,NEIGHBORHOOD_PARK,RECREATION_SITE,5
113,George C Pelbano Playground,2138 SOLLY AVE,19152,11.16353777,NEIGHBORHOOD_PARK,RECREATION_SITE,1
114,Joseph A Ferko Playground,1101 E CAYUGA ST,19124,10.53095496,NEIGHBORHOOD_PARK,RECREATION_SITE,3
115,Germany Hill,4849 SMICK ST,19128,10.82687009,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,4
116,Thomas E Jardel Memorial Field,1400 COTTMAN AVE,19111,10.77967377,NEIGHBORHOOD_PARK,RECREATION_SITE,2
117,Daniel Boyle Memorial Recreation Center,13024 STEVENS RD,19116,10.68970199,NEIGHBORHOOD_PARK,RECREATION_SITE,1
118,Stenton Park,4600 N 16TH ST,19140,11.52834343,NEIGHBORHOOD_PARK,RECREATION_SITE,3
119,Thomas Holme School Playground,9152 ACADEMY RD,19114,10.12775085,NEIGHBORHOOD_PARK,RECREATION_SITE,1
120,Charles A Papa Playground,6839 LANSDOWNE AVE,19151,8.53016827,NEIGHBORHOOD_PARK,RECREATION_SITE,8
121,Water Tower Recreation Center,267 E HARTWELL LN,19118,9.54960794,NEIGHBORHOOD_PARK,RECREATION_SITE,4
122,James J Ramp Playground,3350 SOLLY AVE,19136,9.48773299,NEIGHBORHOOD_PARK,RECREATION_SITE,1
123,Pepper School Playground,2801 S 84TH ST,19153,10.14566847,NEIGHBORHOOD_PARK,MISC_PARK,9
124,Elizabeth M Picariello Playground,3325 RED LION RD,19154,9.43719275,NEIGHBORHOOD_PARK,RECREATION_SITE,1
125,Reyburn Park,1950 W LEHIGH AVE,19132,7.25309255,NEIGHBORHOOD_PARK,MISC_PARK,6
126,Ronald Trumbette Playground,9050 TORRESDALE AVE,19136,8.46822771,NEIGHBORHOOD_PARK,MISC_PARK,1
127,Seymour Tarken Recreation Center,6350 FRONTENAC ST,19111,8.89486605,NEIGHBORHOOD_PARK,RECREATION_SITE,2
128,33rd and Oxford Driving Range,3300 RESERVOIR DR,19121,8.99154955,NEIGHBORHOOD_PARK,ATHLETIC_GOLF,7
129,Edward Houseman Playground,5091 SUMMERDALE AVE,19124,8.66519581,NEIGHBORHOOD_PARK,RECREATION_SITE,3
130,Samuel F Houston Playground,994 SEQUOIA RD,19128,6.20144377,NEIGHBORHOOD_PARK,RECREATION_SITE,4
131,Vernon Park,5800 GERMANTOWN AVE,19144,8.47447474,NEIGHBORHOOD_PARK,RECREATION_SITE,4
132,Haddington-Marshall L Shepard Sr Recreation Center,5700 HAVERFORD AVE,19131,8.21457867,NEIGHBORHOOD_PARK,RECREATION_SITE,8
133,Penn Treaty Park,1299 BEACH ST,19125,12.68109609,NEIGHBORHOOD_PARK,MISC_PARK,5
134,Wingohocking Park,1200 W WINGOHOCKING ST,19140,8.34384577,NEIGHBORHOOD_PARK,MISC_PARK,3
135,W Freeland Kendrick Recreation Center,5878 RIDGE AVE,19128,8.01516345,NEIGHBORHOOD_PARK,RECREATION_SITE,4
136,Fanny Kemble Abolitionist Memorial Park,5641 OGONTZ AVE,19141,8.000187,NEIGHBORHOOD_PARK,MISC_PARK,4
137,Bridesburg Recreation Center,4649 RICHMOND ST,19137,7.98277084,NEIGHBORHOOD_PARK,RECREATION_SITE,5
138,Bradford Park,2400 FAUNCE ST,19152,8.51284504,NEIGHBORHOOD_PARK,MISC_PARK,1
139,Johnny Sample Recreation Center,250 S 63RD ST,19139,9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,8
140,Francis J Myers Recreation Center,5800 CHESTER AVE,19143,7.62507634,NEIGHBORHOOD_PARK,RECREATION_SITE,8
141,Somerton Woods,900 WELTON ST,19116,7.59136922,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,1
142,Thomas B Smith Recreation Center,2200 S 24TH ST,19145,7.59075496,NEIGHBORHOOD_PARK,RECREATION_SITE,9
143,Rittenhouse Square,1800 WALNUT ST,19103,7.31390187,NEIGHBORHOOD_PARK,SQUARE_PLAZA,7
144,Samuel Rose Recreation Center,7401 LANSDOWNE AVE,19151,7.36638904,NEIGHBORHOOD_PARK,RECREATION_SITE,8
145,Loudoun Park,4650 GERMANTOWN AVE,19144,7.66802112,NEIGHBORHOOD_PARK,MISC_PARK,3
146,Elmwood Park,7101 DICKS AVE,19142,7.23461291,NEIGHBORHOOD_PARK,SQUARE_PLAZA,9
147,Harry S McDevitt Playground,3580 SCOTTS LN,19129,6.253379,NEIGHBORHOOD_PARK,RECREATION_SITE,4
148,Washington Square,600 WALNUT ST,19106,7.18823145,NEIGHBORHOOD_PARK,SQUARE_PLAZA,10
149,Charles J Ziehler Playground,5530 B ST,19120,7.10841944,NEIGHBORHOOD_PARK,RECREATION_SITE,3
150,Franklin Square,200 N 06TH ST,19106,7.16495218,NEIGHBORHOOD_PARK,SQUARE_PLAZA,10
151,Thomas Mitchell Playground,3694 CHESTERFIELD RD,19114,6.84150481,NEIGHBORHOOD_PARK,RECREATION_SITE,1
152,Charles M Finley Playground,1006 E HORTTER ST,19150,6.64475875,NEIGHBORHOOD_PARK,RECREATION_SITE,4
153,Von Colln Field,2250 PENNSYLVANIA AVE,19130,6.5700213000000005,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7
154,Norris Square,2100 N HOWARD ST,19122,6.40066661,NEIGHBORHOOD_PARK,SQUARE_PLAZA,6
155,Tomlinson and Gifford Playground,575 TOMLINSON RD,19116,6.4000508,NEIGHBORHOOD_PARK,RECREATION_SITE,1
156,McPherson Square,601 E INDIANA AVE,19134,6.39113005,NEIGHBORHOOD_PARK,SQUARE_PLAZA,5
157,Morris Estate Cultural Center,1610 CHELTEN AVE,19141,6.38127831,NEIGHBORHOOD_PARK,RECREATION_SITE,3
158,Sergeant John J McVeigh Recreation Center,3390 D ST,19134,6.32017882,NEIGHBORHOOD_PARK,RECREATION_SITE,5
159,Malcolm X Memorial Park,5100 PINE ST,19143,6.29782132,NEIGHBORHOOD_PARK,SQUARE_PLAZA,8
160,Joseph A Scanlon Playground,1099 E TIOGA ST,19134,6.1423657,NEIGHBORHOOD_PARK,RECREATION_SITE,5
161,Fairmount Water Works Historic Area,650 WATER WORKS DR,19130,5.38911015,NEIGHBORHOOD_PARK,HISTORIC_SITE,7
162,Frank McArdle Memorial Recreation Center,2951 WELSH RD,19152,6.13683214,NEIGHBORHOOD_PARK,RECREATION_SITE,1
163,Boniface Piccoli Playground,1501 E BRISTOL ST,19124,6.01261801,NEIGHBORHOOD_PARK,RECREATION_SITE,3
164,Mayfair Recreation Center,2901 PRINCETON AVE,19149,6.47532452,NEIGHBORHOOD_PARK,RECREATION_SITE,2
165,Cliveden Park,501 E JOHNSON ST,19119,5.95252079,NEIGHBORHOOD_PARK,MISC_PARK,4
166,Helen G Sturgis Playground,210 W 65TH AVE,19126,5.84220701,NEIGHBORHOOD_PARK,RECREATION_SITE,3
167,Jack Horgan Memorial Field at Old Line Park,8730 OLD LINE RD,19128,6.14692419,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,4
168,John L Barrett Playground,641 LINDLEY AVE,19120,5.77557892,NEIGHBORHOOD_PARK,RECREATION_SITE,3
169,John J McCreesh Sr Playground,6744 REGENT ST,19142,5.29779326,NEIGHBORHOOD_PARK,RECREATION_SITE,8
170,Parkside Evans Recreation Center,5271 PARKSIDE AVE,19131,4.01365062,NEIGHBORHOOD_PARK,RECREATION_SITE,7
171,Carroll Park,5801 W GIRARD AVE,19131,5.63620596,NEIGHBORHOOD_PARK,SQUARE_PLAZA,8
172,Clearview Park,7600 BUIST AVE,19153,5.58653306,NEIGHBORHOOD_PARK,MISC_PARK,9
173,Ramonita Negron Rivera Recreation and Community Center,3201 N 05TH ST,19140,5.44707252,NEIGHBORHOOD_PARK,RECREATION_SITE,6
174,Franklin Delano Roosevelt Playground,4300 HELLERMAN ST,19135,5.45401817,NEIGHBORHOOD_PARK,RECREATION_SITE,2
175,A Albert Cherashore Playground,851 W OLNEY AVE,19141,5.24056806,NEIGHBORHOOD_PARK,RECREATION_SITE,3
176,Barnes Foundation Museum,2051 BENJAMIN FRANKLIN PKY,19130,5.39244537,NEIGHBORHOOD_PARK,MUSEUM,7
177,William T Granahan Playground,6532 CALLOWHILL ST,19151,5.308617900000001,NEIGHBORHOOD_PARK,RECREATION_SITE,8
178,George Connell Park,6401 ELMWOOD AVE,19142,5.32086281,NEIGHBORHOOD_PARK,MISC_PARK,9
179,West Mill Creek,5100 WESTMINSTER AVE,19139,5.20164652,NEIGHBORHOOD_PARK,RECREATION_SITE,8
180,Lonnie Young Recreation Center of East Germantown,1100 E CHELTEN AVE,19138,5.22899521,NEIGHBORHOOD_PARK,RECREATION_SITE,4
181,Carousel House Recreation Center,4300 AVENUE OF THE REPUBLIC,19131,5.24415623,NEIGHBORHOOD_PARK,RECREATION_SITE,7
182,Eileen Fitzpatrick Playground,3500 ACADEMY RD,19154,4.94088539,NEIGHBORHOOD_PARK,RECREATION_SITE,1
183,11th and Cecil B Moore Playground,1737 N 11TH ST,19122,5.18168705,NEIGHBORHOOD_PARK,MISC_PARK,10
184,Waterview Recreation Center,5826 MC MAHON AVE,19144,5.16464053,NEIGHBORHOOD_PARK,RECREATION_SITE,4
185,Cohocksink Recreation Center,2901 CEDAR ST,19134,5.11661966,NEIGHBORHOOD_PARK,RECREATION_SITE,5
186,McMichael Park,3201 MIDVALE AVE,19129,5.8436315,NEIGHBORHOOD_PARK,MISC_PARK,4
187,Stephen E Fotteral Square,2400 N 11TH ST,19133,5.06786818,NEIGHBORHOOD_PARK,SQUARE_PLAZA,6
188,Lawrence E Murphy Recreation Center,300 SHUNK ST,19148,4.95002527,NEIGHBORHOOD_PARK,RECREATION_SITE,10
189,Harrowgate Park,3455 KENSINGTON AVE,19134,4.91227345,NEIGHBORHOOD_PARK,MISC_PARK,5
190,48th and Woodland Playground,4740 WOODLAND AVE,19143,4.84659469,NEIGHBORHOOD_PARK,RECREATION_SITE,8
191,East Poplar Playground,800 N 08TH ST,19123,4.84109444,NEIGHBORHOOD_PARK,RECREATION_SITE,10
192,Narcissa S Cruz Recreation Center,1401 N 06TH ST,19122,4.80989873,NEIGHBORHOOD_PARK,RECREATION_SITE,10
193,Holmesburg Recreation Center,4500 RHAWN ST,19136,4.68314212,NEIGHBORHOOD_PARK,RECREATION_SITE,2
194,Lardners Point Park,5202 LEVICK ST,19135,6.78133444,NEIGHBORHOOD_PARK,MISC_PARK,2
195,Frederick Cione Playground,2600 ARAMINGO AVE,19125,4.75223939,NEIGHBORHOOD_PARK,RECREATION_SITE,5
196,Pleasant Playground,305 SLOCUM ST,19119,4.75616184,NEIGHBORHOOD_PARK,RECREATION_SITE,4
197,Athletic Recreation Center,2626 W JEFFERSON ST,19121,4.6934431,NEIGHBORHOOD_PARK,RECREATION_SITE,7
198,Ottinger Tract,7808 NIXON ST,19128,4.48294957,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,4
199,Happy Hollow Playground,4800 WAYNE AVE,19144,4.588317900000001,NEIGHBORHOOD_PARK,RECREATION_SITE,3
200,CCA Baldi Playground,8725 VERREE RD,19115,4.62363002,NEIGHBORHOOD_PARK,MISC_PARK,1
201,Private Alfred J Simpson Memorial Recreation Center,1010 ARROTT ST,19124,4.554160400000001,NEIGHBORHOOD_PARK,RECREATION_SITE,3
202,Reverend M Monkiewicz Recreation Center,3201 RICHMOND ST,19134,9.55699093,NEIGHBORHOOD_PARK,RECREATION_SITE,5
203,Ernest L Tustin Recreation Center,1951 N 60TH ST,19151,4.32380802,NEIGHBORHOOD_PARK,RECREATION_SITE,8
204,Wharton Square,1300 S 23RD ST,19146,4.29408521,NEIGHBORHOOD_PARK,RECREATION_SITE,9
205,Mifflin Square,500 WOLF ST,19148,4.17189602,NEIGHBORHOOD_PARK,SQUARE_PLAZA,10
206,Belfield Recreation Center,2109 W CHEW AVE,19138,4.01472904,NEIGHBORHOOD_PARK,RECREATION_SITE,4
207,Overington Park,4600 LEIPER ST,19124,4.12414744,NEIGHBORHOOD_PARK,MISC_PARK,3
208,Columbus Square,1200 WHARTON ST,19147,4.11153347,NEIGHBORHOOD_PARK,RECREATION_SITE,9
209,Dr Nicola Capitolo Playground,900 FEDERAL ST,19147,4.09199123,NEIGHBORHOOD_PARK,RECREATION_SITE,9
210,George A Vare Recreation Center,2600 MORRIS ST,19145,4.10769392,NEIGHBORHOOD_PARK,RECREATION_SITE,9
211,Mount Airy Playground,7001 GERMANTOWN AVE,19119,4.06203971,NEIGHBORHOOD_PARK,RECREATION_SITE,4
212,Hillside Recreation Center,201 FOUNTAIN ST,19127,4.07981644,NEIGHBORHOOD_PARK,RECREATION_SITE,4
213,Rodin Museum,2151 BENJAMIN FRANKLIN PKY,19130,4.16432693,NEIGHBORHOOD_PARK,MUSEUM,7
214,Stephen Girard Park,2101 SHUNK ST,19145,4.020306,NEIGHBORHOOD_PARK,SQUARE_PLAZA,9
215,Commodore John Barry Playground,2838 S 18TH ST,19145,4.01254821,NEIGHBORHOOD_PARK,RECREATION_SITE,9
216,Senator William Vincent Mullin Playground,4301 PRINCETON AVE,19135,3.89357716,NEIGHBORHOOD_PARK,RECREATION_SITE,2
217,Joseph C McIlvain Playground,5200 N PENN ST,19124,3.85388933,NEIGHBORHOOD_PARK,RECREATION_SITE,2
218,Marie Dendy Recreation Center,1591 N 10TH ST,19122,3.74316433,NEIGHBORHOOD_PARK,RECREATION_SITE,10
219,Dan Shissler Recreation Center,1826 BLAIR ST,19125,3.89754582,NEIGHBORHOOD_PARK,RECREATION_SITE,5
