OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,SCHOOL_NAME,SCHOOL_NAME_LABEL,STREET_ADDRESS,ZIP_CODE,PHONE_NUMBER,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
26,226517702,,,ST GABRIEL SCHOOL,ST GABRIEL SCHOOL,1432 S  29TH ST,19146,(215) 468-7230,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
27,226517302,,,ST DOMINIC SCHOOL,ST DOMINIC SCHOOL,8500 FRANKFORD AVE,19136,(215) 333-6703,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
28,226517552,,,ST FRANCIS DESALES SCHOOL,ST FRANCIS DESALES SCHOOL,917 S 47TH ST,19143,(215) 387-1749,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
29,226518692,,,SS JOHN NEUMANN AND MARIA GORETTI CATHOLIC HIGH SCHOOL,SS JOHN NEUMANN AND MARIA GORETTI CATHOLIC HIGH SCHOOL,1736 S 10TH ST,19148,(215) 465-8437,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
30,226518002,,,ST HUBERTS CATHOLIC HIGH SCHOOL,ST HUBERTS CATHOLIC HIGH SCHOOL,7320 TORRESDALE AVE,19136,(215) 624-6840,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
31,226519752,,,VISITATION SCHOOL,VISITATION SCHOOL,300-40 E LEHIGH AVE,19125,(215) 634-7280,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
32,226519902,,,WEST CATHOLIC PREPARATORY HIGH SCHOOL,WEST PHILADELPHIA CATHOLIC HIGH SCHOOL,4501-17 CHESTNUT ST,19139,(215) 386-2244,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
33,226519382,,,ST THOMAS AQUINAS SCHOOL,ST THOMAS AQUINAS SCHOOL,1616 S  17TH ST,19145,(215) 334-0878,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
34,226519222,,,ST RAYMOND OF PENAFORT SCHOOL,ST RAYMOND SCHOOL,1330 VERNON RD,19150,(215) 548-1919,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
35,226519422,,,BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,3001 LEVICK ST,19149,(215) 338-9797,O,ELEMENTARY/MIDDLE,1-8,,3,ARCHDIOCESE
36,226519142,,,ST PETER THE APOSTLE SCHOOL,ST PETER THE APOSTLE SCHOOL,1009 N 5TH ST,19123,(215) 922-5958,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
37,226518932,,,ST MATTHEW SCHOOL,ST MATTHEW SCHOOL,3000 COTTMAN AVE,19149,(215) 333-3142,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
38,226518422,,,ST LAURENTIUS SCHOOL,ST LAURENTIUS SCHOOL,1612 E BERKS ST,19125,(215) 423-8834,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
39,226517352,,,ST FRANCES CABRINI REGIONAL CATHOLIC SCHOOL,ST FRANCES CABRINI,405 N 65TH ST,19151,(215) 748-2994,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
40,226519242,,,ST PIO REGIONAL CATHOLIC SCHOOL,ST PIO CATHOLIC REGIONAL SCHOOL,1826 POLLOCK ST,19145,(215) 467-5430,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
41,300518675,,,"SYLVAN LEARNING CENTER
",SYLVAN LEARNING CENTER,6537 ROOSEVELT BLVD,19149,(215) 743-6200,O,TUTORING,UNGRADED,,3,PRIVATE
42,300513270,,,DELTA SCHOOL,DELTA SCHOOL,3515 WOODHAVEN RD,19154,(215) 637-8235,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
43,226514502,,,NORWOOD FONTBONNE ACADEMY,NORWOOD FONTBONNE ACADEMY,8891 GERMANTOWN AVE,19118,(215) 247-3811,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
44,226511002,,,SPRINGSIDE CHESTNUT HILL ACADEMY,SPRINGSIDE CHESTNUT HILL ACADEMY,500 W WILLOW GROVE AVE,19118,(215) 247-4700,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
45,226515802,,,SPRINGSIDE CHESTNUT HILL ACADEMY,SPRINGSIDE CHESTNUT HILL ACADEMY,8000 CHEROKEE ST,19118,(215) 247-7200,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
46,126513070,7557,3308,BELMONT ACADEMY CHARTER SCHOOL,BELMONT ACADEMY CHARTER SCHOOL,907 N 41ST ST,19104,(215) 396-5768,O,ELEMENTARY SCHOOL,PREK-K,,2,CHARTER
47,,,3322,PHILADELPHIA ACADEMY CHARTER SCHOOL (ANNEX),PHILADELPHIA ACADEMY CHARTER SCHOOL,1700 TOMLINSON RD,19116,(215) 673-3990,O,HIGH SCHOOL,9-12,,2,CHARTER
48,,,3374,ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),1630-32 N 16TH ST,19121,(215) 232-4892,O,ELEMENTARY SCHOOL,4-8,,2,CHARTER
49,226510912,,,CEDAR GROVE CHRISTIAN ACADEMY LOWER SCHOOL,CEDAR GROVE CHRISTIAN ACADEMY LOWER SCHOOL,600 HELLERMAN ST,19111,(215) 725-3383,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
50,226519162,,,ST PETERS SCHOOL,ST PETERS SCHOOL,311-21 LOMBARD ST,19147,(215) 925-3963,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
51,226519672,,,TIMOTHY ACADEMY,TIMOTHY ACADEMY,5500 TABOR AVE,19120,(215) 425-8886,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
52,226518302,,,ST JOSEPH'S PREPARATORY SCHOOL,ST JOSEPH'S PREPARATORY SCHOOL,1733 W GIRARD AVE,19130,(215) 978-1950,O,HIGH SCHOOL,9-12,,3,PRIVATE
53,226515682,,,FAITH CONNECTION CHRISTIAN ACADEMY,FAITH CONNECTION CHRISTIAN ACADEMY,4524 BALTIMORE AVE,19143,(215) 592-0974,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
54,326510160,,,RED LION ELEMENTARY SCHOOL,RED LION ELEMENTARY SCHOOL,256 GEIGER RD,19115,(215) 464-8623 ,O,ELEMENTARY SCHOOL,K-5,,3,PRIVATE
55,300519545,,,MERAKEY AUTISM CENTER- PHILADELPHIA,MERAKEY AUTISM CENTER- PHILADELPHIA,2900 SOUTHAMPTON RD,19154,(215) 671-5155,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
56,226510232,,,ALPHA HOUSE NURSERY & KINDERGARTEN,ALPHA HOUSE NURSERY & KINDERGARTEN,9801 FRANKFORD AVE,19114,(215) 632-3366,O,KINDERGARTEN,PREK-K,,3,PRIVATE
57,226510026,,,ALL SAINTS EPISCOPAL SCHOOL,ALL SAINTS EPISCOPAL SCHOOL,9571 FRANKFORD AVE,19114,(215) 637-8788,O,KINDERGARTEN,PREK-K,,3,PRIVATE
58,300512140,,,BRIDGE SCHOOL,BRIDGE SCHOOL,1100 ADAMS AVE,19124,(215) 342-5000,O,VO-TECH,VO-TECH,,3,PRIVATE
59,226512762,,,ISLAMIC EDUCATION SCHOOL,ISLAMIC EDUCATION SCHOOL,4431-39 WALNUT ST,19104,(215) 387-8888,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
60,226512872,,,KIDS WORLD CHRISTIAN EDUCATION CENTER- WEST PHILADELPHIA,KIDS WORLD CHRISTIAN EDUCATION CENTER- WEST PHILADELPHIA,100-04 S 61ST ST,19139,(215) 474-1484,O,ELEMENTARY SCHOOL,PREK-4,,3,PRIVATE
61,226510011,,,SHEPHERDS CHRISTIAN ACADEMY,SHEPHERDS CHRISTIAN ACADEMY,6634-42 HAVERFORD AVE,19151,(215) 476-4101,O,ELEMENTARY SCHOOL,PREK-5,,3,PRIVATE
62,226512962,,,LITTLE FOOTSTEPS ISLAM INSTITUTE,LITTLE FOOTSTEPS ISLAM INSTITUTE,5314 YOCUM ST,19143,(267) 236-8559,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
63,226515412,,,WILLIAM PENN CHARTER SCHOOL,WILLIAM PENN CHARTER SCHOOL,3000 W SCHOOL HOUSE LN,19144,(215) 844-3460,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
64,226510695,,,BEULAH BAPTIST CHRISTIAN DAY SCHOOL,BEULAH BAPTIST CHRISTIAN DAY SCHOOL,5001 SPRUCE ST,19139,(215) 747-3347,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
65,226511622,,,FRANKFORD FRIENDS SCHOOL,FRANKFORD FRIENDS SCHOOL,1500 ORTHODOX ST,19124,(215) 533-5368,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
66,226515532,,,PROJECT LEARN,PROJECT LEARN,6519-25 GERMANTOWN AVE,19119,(215) 438-3623,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
67,226512992,,,LOTUS ACADEMY,LOTUS ACADEMY,334 E HAINES ST,19144,(215) 438-7500,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
68,226510722,,,CALVARY TEMPLE CHRISTIAN ACADEMY,CALVARY TEMPLE CHRISTIAN ACADEMY,3301 S  20TH  ST,19145,(215) 462-2822,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
69,226511235,,,CROOKED PLACES MADE STRAIGHT,CROOKED PLACES MADE STRAIGHT,2617 WASHINGTON AVE,19146,(215) 339-5007,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
70,226518902,,,ST MARYS INTERPAROCHIAL SCHOOL,ST MARYS INTERPAROCHIAL SCHOOL,440 LOCUST ST,19106,(215) 923-7522,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
71,226518722,,,ST MARTHA SCHOOL,ST MARTHA SCHOOL,11301 ACADEMY RD,19154,(215) 632-0320,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
72,226514052,,,MATERNITY BVM SCHOOL,MATERNITY BVM SCHOOL,9322 OLD BUSTLETON AVE,19115,(215) 673-0235,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
73,226514852,,,OUR LADY OF CALVARY SCHOOL,OUR LADY OF CALVARY SCHOOL,11026 KNIGHTS RD,19154,(215) 637-1648,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
74,226511102,,,CHRIST THE KING SCHOOL,CHRIST THE KING SCHOOL,3201 CHESTERFIELD RD,19114,(215) 632-1375,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
75,300511820,,,BEGINNINGS LEARNING CENTER,BEGINNINGS LEARNING CENTER,620 S 10TH ST,19147,(215) 627-3668,O,PRE-SCHOOL,PREK-K,,3,PRIVATE
76,226511232,,,JUBILEE SCHOOL,JUBILEE SCHOOL,4211 CHESTER AVE,19104,(215) 387-7592,O,ELEMENTARY SCHOOL,PREK-6,,3,PRIVATE
77,226514112,,,MILL CREEK SCHOOL,MILL CREEK SCHOOL,111 N 49TH ST,19139,(215) 471-4900 ,O,HIGH SCHOOL,7-12,,3,PRIVATE
78,226510052,,,IJOBA SHULE,IJOBA SHULE,6026 DREXEL RD,19131,(215) 747-5737,O,ELEMENTARY/MIDDLE,PREK-7,,3,PRIVATE
79,226515662,,,NORTHEAST CENTRAL CHRISTIAN SCHOOL,NORTHEAST CENTRAL CHRISTIAN SCHOOL,7200-50 E ROOSEVELT BLV,19149,(215) 624-8046,O,ELEMENTARY SCHOOL,PREK-5,,3,PRIVATE
80,226510068,,,CRYSTAL RIVER ACADEMY,CRYSTAL RIVER ACADEMY,6401 LORETTO AVE,19111,(215) 744-3757,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
81,226512252,,,HOLY INNOCENTS SCHOOL,HOLY INNOCENTS SCHOOL,1312 E  BRISTOL ST,19124,(215) 743-5909,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
82,226518542,,,ST LUCY DAY SCHOOL FOR CHILDREN WITH VISUAL IMPAIRMENTS,ST LUCY DAY SCHOOL FOR CHILDREN WITH VISUAL IMPAIRMENTS,1301 E HUNTING PARK AVE,19124,(215) 289-4220,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
83,226510064,,,SPRING GARDEN ACADEMY - TIOGA,SPRING GARDEN ACAD - TIOGA,3501-05 N 17TH ST,19140,(215) 226-1000,O,ELEMENTARY/MIDDLE,1-8,,3,PRIVATE
84,300518830,,,THANKFUL LEARNING CENTER INC,THANKFUL LEARNING CENTER INC,3200-02 N 17TH ST,19140,(215) 226-5544,O,PRE-SCHOOL,PRE-SCHOOL,,3,PRIVATE
85,226510063,,,EDUCATION IS THE KEY LEARNING CENTER,EDUCATION IS THE KEY LEARNING CENTER,1901 W GIRARD AVE,19142,(267) 312-0538,O,ELEMENTARY/MIDDLE,PREK-7,,3,PRIVATE
86,226510070,,,TARBIYATUL ILM ACADEMY INC.,TARBIYATUL ILM ACADEMY INC.,5700 N BROAD ST,19141,(215) 288-4600,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
87,226510031,,,KIDS WORLD CHRISTIAN EDUCATION CENTER- GERMANTOWN,KIDS WORLD CHRISTIAN EDUCATION CENTER- GERMANTOWN,629 E CHURCH LANE,19144,(215) 848-1800,O,ELEMENTARY SCHOOL,PREK-5,,3,PRIVATE
88,226510073,,,ST JAMES SCHOOL,ST JAMES SCHOOL,3201-29 W CLEARFIELD ST,19132,(215) 226-1276,O,MIDDLE SCHOOL,5-8,,3,PRIVATE
89,300515320,,,PRODIGY LEARNING CENTERS,PRODIGY LEARNING CENTERS,3345 W HUNTING PARK AVE,19132,(215) 228-7678,O,ELEMENTARY SCHOOL,PREK-K,,3,PRIVATE
90,226514262,,,MT AIRY CHRISTIAN DAY SCHOOL,MT AIRY CHRISTIAN DAY SCHOOL,6401 OGONTZ AVE,19126,(215) 276-2990,O,PRE-SCHOOL,PRE-SCHOOL,,3,PRIVATE
91,226511712,,,ADELAIDE EDUCATIONAL ACADEMY CENTER,ADELAIDE EDUCATIONAL ACADEMY CENTER,6100 N 21ST ST,19138,(215) 844-5000,O,ELEMENTARY SCHOOL,PREK-7,,3,PRIVATE
92,226515695,,,SAINTS TABERNACLE DAY SCHOOL,SAINTS TABERNACLE DAY SCHOOL,5800 N MARVINE ST,19141,(215) 548-6011,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
93,226510004,,,LOGAN HOPE SCHOOL,LOGAN HOPE SCHOOL,4934 N 13TH ST,19141,(215) 455-7442,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
94,126515001,7905,2670,CONSTITUTION HIGH SCHOOL,CONSTITUTION HIGH SCHOOL,18 S 7TH ST,19106,(215) 400-7850,,HIGH SCHOOL,9-12,381,1,DISTRICT
95,126515001,6525,5230,"CONWELL, RUSSELL MIDDLE SCHOOL",RUSSELL H. CONWELL SCHOOL,1849 E CLEARFIELD ST,19134,(215) 400-7210,,MIDDLE SCHOOL,5-8,328,1,DISTRICT
96,126515001,7239,7100,"COOKE, JAY ELEMENTARY SCHOOL",JAY COOKE SCHOOL,1300 W LOUDEN ST,19141,(215) 400-8330,,ELEMENTARY/MIDDLE,K-8,427,1,DISTRICT
97,126515001,5122,6410,COOK-WISSAHICKON SCHOOL,COOK-WISSAHICKON SCHOOL,201 E SALAIGNAC ST,19128,(215) 400-3430,,ELEMENTARY/MIDDLE,K-8,462,1,DISTRICT
98,126515001,5123,5470,"CRAMP, WILLIAM SCHOOL",WILLIAM CRAMP SCHOOL,3449 N MASCHER ST,19140,(215) 400-3860,,ELEMENTARY SCHOOL,K-5,479,1,DISTRICT
99,126515001,6996,2020,CREATIVE AND PERFORMING ARTS,HIGH SCHOOL FOR CREATIVE AND PERFORMING ARTS SCHOOL,901 S BROAD ST,19147,(215) 400-8140,,HIGH SCHOOL,9-12,736,1,DISTRICT
100,126515001,3762,8230,"CROSSAN, KENNEDY C. SCHOOL",KENNEDY C. CROSSAN SCHOOL,7350 BINGHAM ST,19111,(215) 400-3160,,ELEMENTARY SCHOOL,K-5,328,1,DISTRICT
101,126515001,3706,6200,"DAY, ANNA B. SCHOOL",ANNA B. DAY SCHOOL,6324 CRITTENDEN ST,19138,(215) 400-3520,,ELEMENTARY/MIDDLE,K-8,433,1,DISTRICT
102,126515001,7175,5170,"DEBURGOS, J. ELEMENTARY",JULIA DE BURGOS SCHOOL,401 W LEHIGH AVE,19133,(215) 400-7080,,ELEMENTARY/MIDDLE,K-8,830,1,DISTRICT
103,126515001,4727,8420,"DECATUR, STEPHEN SCHOOL",STEPHEN DECATUR SCHOOL,3500 ACADEMY RD,19154,(215) 400-3050,,ELEMENTARY/MIDDLE,K-8,979,1,DISTRICT
104,126515001,3786,4270,"DICK, WILLIAM SCHOOL",WILLIAM DICK SCHOOL,2498 W DIAMOND ST,19121,(215) 400-7340,,ELEMENTARY/MIDDLE,K-8,465,1,DISTRICT
105,126515001,3763,8240,"DISSTON, HAMILTON SCHOOL",HAMILTON DISSTON SCHOOL,6801 COTTAGE ST,19135,(215) 400-3350,,ELEMENTARY/MIDDLE,K-8,834,1,DISTRICT
106,126515001,3841,4060,"DOBBINS, MURRELL HIGH SCHOOL",MURRELL DOBBINS CAREER AND TECHNICAL HIGH SCHOOL,2150 W LEHIGH AVE,19132,(215) 400-7050,,HIGH SCHOOL,9-12,797,1,DISTRICT
107,126515001,3726,6450,"DOBSON, JAMES SCHOOL",JAMES DOBSON SCHOOL,4667 UMBRIA ST,19127,(215) 400-3570,,ELEMENTARY/MIDDLE,K-8,249,1,DISTRICT
108,126515001,5040,4460,"DUCKREY, TANNER SCHOOL",TANNER G. DUCKREY SCHOOL,1501 W DIAMOND ST,19121,(215) 400-7350,,ELEMENTARY/MIDDLE,K-8,567,1,DISTRICT
109,126515001,3687,5250,"DUNBAR, PAUL L. SCHOOL",PAUL L. DUNBAR SCHOOL,1750 N 12TH ST,19122,(215) 400-7410,,ELEMENTARY/MIDDLE,K-8,259,1,DISTRICT
110,126515001,3849,5020,"EDISON, THOMAS A. HIGH SCHOOL",THOMAS A. EDISON HIGH SCHOOL,151 W LUZERNE ST,19140,(215) 400-3900,,HIGH SCHOOL,9-12,1077,1,DISTRICT
111,126515001,3708,6210,"EDMONDS, FRANKLIN S. SCHOOL",FRANKLIN S. EDMONDS SCHOOL,8025 THOURON AVE,19150,(215) 400-3370,,ELEMENTARY/MIDDLE,K-8,535,1,DISTRICT
112,126515001,3688,5260,"ELKIN, LEWIS SCHOOL",LEWIS ELKIN SCHOOL,3199 D ST,19134,(215) 400-7140,,ELEMENTARY SCHOOL,K-4,677,1,DISTRICT
113,126515001,3738,7260,ELLWOOD SCHOOL,ELLWOOD SCHOOL,6701 N 13TH ST,19126,(215) 400-3540,,ELEMENTARY SCHOOL,K-5,301,1,DISTRICT
114,126515001,3709,6220,"EMLEN, ELEANOR C. SCHOOL",ELEANOR C. EMLEN SCHOOL,6501 CHEW AVE,19119,(215) 400-3470,,ELEMENTARY SCHOOL,K-5,328,1,DISTRICT
115,126515001,7023,4030,ENGINEERING & SCIENCE HIGH,HIGH SCHOOL OF ENGINEERING AND SCIENCE,1600 W NORRIS ST,19121,(215) 400-7380,,MIDDLE/HIGH,7-12,907,1,DISTRICT
116,126515001,7235,8380,"FARRELL, LOUIS H. SCHOOL",LOUIS H. FARRELL SCHOOL,8300 CASTOR AVE,19152,(215) 400-3230,,ELEMENTARY/MIDDLE,K-8,1184,1,DISTRICT
117,126515001,7226,2190,"FELL, D. NEWLIN SCHOOL",D. NEWLIN FELL SCHOOL,900 W OREGON AVE,19148,(215) 400-8260,,ELEMENTARY/MIDDLE,K-8,579,1,DISTRICT
118,126515001,3816,7120,"FELS, SAMUEL HIGH SCHOOL",SAMUEL FELS HIGH SCHOOL,5500 LANGDON ST,19124,(215) 400-7100,,HIGH SCHOOL,9-12,951,1,DISTRICT
119,126515001,7368,7500,FELTONVILLE ARTS & SCIENCES,FELTONVILLE SCHOOL OF ARTS AND SCIENCES,210 E COURTLAND ST,19120,(215) 400-3810,,MIDDLE SCHOOL,6-8,673,1,DISTRICT
120,126515001,3751,7310,FELTONVILLE INTERMEDIATE,FELTONVILLE INTERMEDIATE SCHOOL,238 E WYOMING AVE,19120,(215) 400-3730,,ELEMENTARY SCHOOL,3-5,638,1,DISTRICT
121,126515001,3739,7270,"FINLETTER, THOMAS K. SCHOOL",THOMAS K. FINLETTER SCHOOL,6100 N FRONT ST,19120,(215) 400-3750,,ELEMENTARY/MIDDLE,K-8,750,1,DISTRICT
122,126515001,6913,6230,FITLER ACADEMICS PLUS,FITLER ACADEMICS PLUS SCHOOL,140 W SEYMOUR ST,19144,(215) 400-3610,,ELEMENTARY/MIDDLE,K-8,271,1,DISTRICT
123,126515001,3731,8390,"FITZPATRICK, A. L. SCHOOL",A.L. FITZPATRICK SCHOOL,11061 KNIGHTS RD,19154,(215) 400-3060,,ELEMENTARY/MIDDLE,K-8,817,1,DISTRICT
124,126515001,3764,8250,"FORREST, EDWIN SCHOOL",EDWIN FORREST SCHOOL,7300 COTTAGE ST,19136,(215) 400-3330,,ELEMENTARY SCHOOL,K-6,1162,1,DISTRICT
